Position,Driver,Total time,Total time ms,Best lap,Laps,Points
1,Dzonykirango,01:56:127,116127,01:56:127,4,0
2,Sagxx,01:56:340,116340,01:56:340,5,0
3,Kielkozaur,01:56:345,116345,01:56:345,4,0
4,Kowen,01:56:887,116887,01:56:887,5,0
5,Chadeka90,01:57:477,117477,01:57:477,4,0
6,Chapsior,01:59:025,119025,01:59:025,3,0
7,Fikumacz,01:59:320,119320,01:59:320,5,0
8,TOMZI PL,01:59:465,119465,01:59:465,4,0
9,Dziadygagoat,01:59:550,119550,01:59:550,2,0
10,GÅ‚az,02:00:459,120459,02:00:459,3,0
11,Khasithe,01:57:162,117162,01:57:162,2,0
